,party,sentence,primary_topic
11,BBB,De mensen die onze zieken weer beter maken.,Health
12,BBB,De mensen die ervoor zorgen dat onze kinderen onderwijs krijgen.,Education
13,BBB,Deze mensen hoeven zelf niet per se een standbeeld of een tv-serie.,Civil Rights
14,BBB,"Dat er mensen zijn die genoeg hebben van bureaucratie, die het anders willen, die recht hebben op aandacht en respect.",Social Welfare
15,BBB,Niet een “zij” maar een “wij”.,Civil Rights
16,BBB,Een overheid die door privatisering en verzelfstandiging haar praktijk- en vakmensen was kwijtgeraakt.,Domestic Commerce
17,BBB,"De verplegers, de politieagenten, de lassers, de boeren, de schoonmakers, de post- bodes, de conducteurs, de machinisten, de balie ambtenaar etcetera.",Labor
18,BBB,Technocratisch denken kneedde blauwe boorden Nederland toen echter al tot een witteboordenoverheid.,Civil Rights
19,BBB,Een overheid van waar steeds meer theoretisch en academisch opgeleiden kwamen.,Education
20,BBB,HJ Schoo waarschuwde in 2003 ook al dat de dominantie van hooggeschoolde witte boorden bij de overheid gevolgen zou hebben.,Civil Rights
21,BBB,Gevolgen voor haar beeldvorming van de maatschappij en welke waarden belangrijk zijn voor de overheid.,Civil Rights
22,BBB,En gevolgen voor hoe de witteboordenoverheid op de wereld reageert.,Civil Rights
23,BBB,"“Deze nieuwe overheid dreigt het exclusieve instrument van de hogere middenklasse te worden”, schreef hij.",Other
24,BBB,"Terwijl de overheid er juist ook voor groepen zou moeten zijn die kwetsbaarder zijn en voor de mensen die achterblijven, zou de overheid niet langer hun partner zijn, maar de vijand, een dwarsligger achter het loket, een bange controleur, de vertegenwoordiger van een ander soort mensen.",Civil Rights
25,BBB,De overheid is de aansluiting met deze mensen verloren.,Civil Rights
26,BBB,Terwijl zij vaak de overheid het meeste nodig hebben.,Social Welfare
27,BBB,Want geen mens is gemiddeld en dus voel je je niet serieus genomen als politici en opeenvolgende kabinetten blijven zeggen dat we “gemiddeld zo goed scoren”.,Government Operations
28,BBB,Maar dit hoeft niet allemaal zo te blijven.,Civil Rights
29,BBB,Verandering is niet een kwestie van kunnen.,Civil Rights
30,BBB,"Het uitgangspunt daarbij is, zoals de Nationale Ombudsman ook zegt: “De overheid is er voor burgers en niet andersom.” 9 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027Nederland moet daarom een Noaberstaat worden, een Mienskipsteat (Fries voor Gemeenschapsstaat).",Government Operations
31,BBB,Hoe willen we dat Nederland er - laten we zeggen - in 2050 uitziet?,Energy
32,BBB,Huizen waarin geleefd kan worden.,Civil Rights
33,BBB,Banen die bestaanszekerheid geven.,Civil Rights
34,BBB,Zorg voor onze ouderen.,Health
35,BBB,Maar ook de bus die gewoon stopt in de straat of de straat verderop.,Transportation
36,BBB,"Waar je niet voor elkaar hebt gekozen, maar het wel met elkaar moet doen.",Civil Rights
37,BBB,"DE OVERHEID ALS MAAKBAARHEID PROJECT Door mensen te degraderen tot cijfertjes en statistieken en een overheid die zich verschanst heeft in silo’s vol met juristen, economen en bestuurskundigen is de Nederlandse samenleving de laatste decennia er meer een van individuen en polarisatie geworden.",Other
38,BBB,Polarisatie wordt OOK door politici aangejaagd.,Government Operations
39,BBB,"Dit gebeurt door mensen met een - voor hen - minder welgevallige mening, weg te zetten als dom, domrechts, wappies of proteststemmers.",Civil Rights
40,BBB,"Het dedain wat daarmee wordt uitgestort over gewone mensen, met gewone levens, gewone banen, gewone verlangens en behoeftes, gewone families, gewone humor is ronduit stuitend.",Civil Rights
41,BBB,Wij hebben juist als taak dit serieus te nemen en mensen gezien en gehoord laten voelen.,Civil Rights
42,BBB,"En dan hoef je mensen niet, onderuit te schoffelen, NEER TE HALEN, omdat zij toevallig niet de welgevallige mening hebben, die jij hebt.",Civil Rights
43,BBB,In spreadsheets wordt dan berekend wat je plannen ons gaan kosten.,Domestic Commerce
44,BBB,"Werk, inkomen, wonen, onderwijs, gezondheid, welzijn, sociale cohesie en leefomgeving doen er allemaal GELIJKTIJDIG toe.",Social Welfare
45,BBB,In de nieuwe Kamerperiode moet dit allemaal veel nadrukkelijker op elkaar betrokken worden.,Government Operations
46,BBB,"Er moeten natuurlijk altijd keuzes gemaakt worden (en veelal uitruilen; niet alles kan tegelijk) maar de politiek moet de komende jaren steeds ALLE belangen (economisch, sociaal, ecologisch, maat- schappelijk) op tafel leggen en wegen.",Government Operations
47,BBB,Bouwen en wonen is een sociale opgave.,Housing
48,BBB,Nadenken over ons platteland en de landbouw is ook een sociaal vraagstuk en gaat niet alleen over stikstof of geld.,Agriculture
49,BBB,"Het gaat om de integrale, brede afweging, anders kom je niet goed uit en neem je mensen niet serieus.",Government Operations
50,BBB,Maar het is dus ook een institutionele opgave.,Government Operations
51,BBB,Hoe richten we onze besluitvorming (en het Kamerwerk; ministeries; kabinetsposten) in en hoe willen we de werkwijze veranderen (ook als de wetgeving dat nu belemmert).,Government Operations
52,BBB,"De overheid moet stoppen met een groot bedrijf te zijn, waar de menselijke maat, misschien niet eens doelbewust, naar de tweede plaats is gegaan, en waar alles draait om geld en efficiency.",Domestic Commerce
53,BBB,Een overheid die compleet lijkt doorgeschoten in de drang om een volmaakt product neer te zetten waarbij de eindgebruiker (wij) steeds meer inbreuk voelen in onze individuele vrijheden.,Civil Rights
54,BBB,Mensen zijn overgelaten aan concurrentie en marktwerking op plekken en omgevingen in de samenleving waarin dat juist niet moet.,Domestic Commerce
55,BBB,"Dit terwijl tegelijkertijd de kleinste handelingen door werkgevers, werknemers en individuele burgers tot zeven cijfers achter de komma verantwoord moeten worden.",Labor
56,BBB,"Allemaal controledwang, toezichthouders mentaliteit en scepticisme richting onze eigen burgers.",Government Operations
57,BBB,Terwijl de overheid er is voor burgers en niet andersom!,Government Operations
58,BBB,"En los van het feit dat dit allemaal onnodig veel geld kost, heeft de vinkjes cultuur die de overheid heeft gecreëerd, gevolgen in alle lagen van de bevolking.",Government Operations
59,BBB,Docenten hebben steeds minder tijd voor leerlingen.,Education
60,BBB,Verpleegkundigen hebben steeds minder persoonlijke tijd voor hun patiënten.,Health
61,BBB,Ondernemers zijn drukker met administratie en controles dan met de praktijk.,Domestic Commerce
62,BBB,"Boeren zijn boekhouders geworden, agenten zitten meer achter hun bureau dan dat zij op straat kunnen zijn.",Law and Crime
63,BBB,Huisartsen hebben geen tijd meer voor hun patiënten.,Health
64,BBB,En al die nodeloze bureaucratie kost miljarden.,Government Operations
65,BBB,"Miljarden die wij zouden kunnen stoppen in zorg, onderwijs en politie bijvoorbeeld.",Social Welfare
66,BBB,Miljarden verspild omdat de overheid ons wantrouwt in plaats van vertrouwt.,Civil Rights
67,BBB,"Omdat de overheid ons ziet als fraudeurs, zeurpieten en mensen die “er toch geen verstand van hebben”.",Law and Crime
68,BBB,Een overheid die beleid maakt op basis van wantrouwen in plaats van op vertrouwen.,Government Operations
69,BBB,"En daardoor mensen in de ellende stort, tegen muren aan laat lopen en in de knel laat zitten.",Social Welfare
70,BBB,"Kijk naar het toeslagen schandaal, de aardbevingsschade, de watersnoodramp in Zuid-Nederland en de huidige stand van de jeugdzorg, om maar wat te noemen.11 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027“Loop mee met de zwakkeren, dan weet je zeker dat niemand achter blijft.",Other
71,BBB,Maar het moet WEL het uitgangspunt zijn.,Civil Rights
72,BBB,"Mensen met minder inkomen of geld, mensen met minder sociale contacten, mensen die minder geschoold zijn, mensen die in een minder leefbare omgeving opgroeien of wonen, mensen met een kwetsbare gezondheid.",Social Welfare
73,BBB,"Mensen die niet wilden of konden worden gevaccineerd, werden weggezet als wappies en gekkies.",Law and Crime
74,BBB,Demissionair voormalig minister van VWS Hugo de Jonge noemde het een “epidemie van de ongevacci- neerden” en nam deze woorden nooit terug.,Health
75,BBB,"Door de vaccinatiedrang, lockdowns, de QR-code en de gelukkig nooit ingevoerde, maar wel vergevorderde 2G, zijn mensen en families tegen elkaar opgezet.",Health
76,BBB,"Tegen kinderen werd gezegd dat ze beter niet naar opa of oma konden gaan, omdat als zij ze zouden besmetten, opa of oma misschien wel ziek kon worden en doodgaan.",Civil Rights
77,BBB,Unicef schreef ons als politiek een brief met het pleidooi om te stoppen dit op de schouders van kinderen te leggen.,Civil Rights
78,BBB,En we vergeten nooit de man die ons mailde hoe kapot hij was omdat hij uit het kerkkoor was gezet omdat hij niet gevaccineerd was.,Law and Crime
79,BBB,"Of de mail van de mevrouw die door haar familie werd verboden om afscheid te nemen van haar stervende vader, omdat ze niet was gevaccineerd.",Civil Rights
80,BBB,Het is daarom tijd dat wat goed ging EN fout ging op tafel komt.,Domestic Commerce
81,BBB,"Als we niet oppassen, raken mensen verder in zichzelf gekeerd.",Civil Rights
82,BBB,Raken ze nog meer sociale samenhang kwijt.,Civil Rights
83,BBB,"Gaan mensen verder vereenzamen, vinden ze nog moeilijker aansluiting met elkaar, en komt onze gemeenschapszin verder onder druk te staan.",Social Welfare
84,BBB,"En als we minder gemeenschappelijk hebben, worden we het ook minder snel eens over welke problemen we nou willen oplossen.",Civil Rights
85,BBB,Dit is de individualisering van onze samenleving die we moeten stoppen.,Social Welfare
86,BBB,"Het is zowel een probleem dat de overheid zich terugtrekt, maar het is ook een probleem dat diezelfde administratieve staat zich overal mee lijkt te bemoeien.",Government Operations
87,BBB,Dit laat zich verklaren door het eerdere punt wat over de witte- boordenoverheid werd gemaakt.,Civil Rights
88,BBB,"De overheid, en daarmee haar prioriteiten, is in toenemende mate een 12 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027maakbaarheids project van theoretisch opgeleiden geworden.",Education
89,BBB,Mensen die het geluk hebben nooit de consequenties van falend maakbaarheidsbeleid te zullen voelen.,Civil Rights
90,BBB,"Wie het wel raakt zijn de mensen die in gemeenschappelijkheid en in vrijheid een simpel, maar waardig, bestaan nastreven.",Civil Rights
91,BBB,"Hun noden zijn niet gediend bij een over gretige overheid, maar juist een overheid die haar kerntaken en haar functie als vangnet goed op orde heeft.",Government Operations
92,BBB,Wij mensen blijven namelijk diep in ons bestaan sociale dieren.,Agriculture
93,BBB,"Daardoor zie je in de lagen van de samenleving waar individualisering het meeste voorkomt, dat er meer behoefte ontstaat voor aansluiting bij sociale groepen, subculturen.",Civil Rights
94,BBB,Mensen willen opvulling van de leegte die individualisering achterlaat.,Civil Rights
95,BBB,"Deze groepen, subculturen en gemeenschappen hebben echter vaak ook hun eigen verzameling aan normen, waarden, tradities en symbolen ontwikkeld.",Civil Rights
96,BBB,"Het lijkt dan ook dat ze met elkaar bestaan, maar eigenlijk bestaan ze los van elkaar, met weinig onderlinge cohesie.",Civil Rights
97,BBB,"Dit, gepaard met steeds slimmere algoritmes die ons vooral voeden met informatie die we willen zien, maakt dat er echokamers ontstaan waarin we alsmaar overtuigd blijven worden van ons eigen gelijk en omringd zijn door mensen die er precies zo over denken.",Civil Rights
98,BBB,Dit komt namelijk voort uit een absolute vrijheid van het spreken.,Civil Rights
99,BBB,Maar bij die vrijheid hoort ook een verantwoordelijkheid.,Civil Rights
100,BBB,Het feit dat je alles kan zeggen betekent niet dat je alles daarom ook moet zeggen.,Civil Rights
101,BBB,We zijn namelijk een brug over gegaan waarin dit soort maatschappelijke gesprekken niet meer vanuit een positie van wederzijds respect plaatsvinden maar - opnieuw - juist vanuit wantrouwen.,Civil Rights
102,BBB,"Wantrouwen voor de ander, wantrouwen voor ‘’de groep’’ waar hij of zij bij hoort en wan- trouwen voor de daadwerkelijke beweegredenen.",Civil Rights
103,BBB,Iets kan niet meer goed zijn als het niet in MIJN wereldbeeld past of door gelijkgestemden wordt verkondigd.,Civil Rights
104,BBB,Jij wilt geen gewelddadige pushbacks van vluchtelingen?,Immigration
105,BBB,"Oh, dus jij wilt een tsunami van Afrikaanse gelukszoekers in Nederland!",Immigration
106,BBB,Jij wilt een ander stikstofbeleid?,Environment
107,BBB,Jij hebt vraagtekens bij windmolens op zee en zonnepanelen op landbouwgrond?,Energy
108,BBB,"Oh, dus jij vindt dat onze kinderen en kleinkinderen mogen verzuipen als de zeespiegel stijgt!",Environment
109,BBB,Maar ook; Dus jij bent kritisch op boeren?,Agriculture
110,BBB,"Dan mag je NOOIT meer eten.13 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027Deze manier van polariseren, zaait haat, agressie en vijandigheid in de samenleving.",Civil Rights
111,BBB,"Dit zorgt voor een grimmige, onveilige omgeving.",Civil Rights
112,BBB,"Stemmen verstommen en zo sterft een democratie, als we niet uitkijken.",Civil Rights
113,BBB,"“De democratie KAN kapot.” En de democratie sterft niet met een revolutie, maar met gesprekken die stilvallen.",Civil Rights
114,BBB,Omdat we het niet meer willen of durven aan te gaan.,Civil Rights
115,BBB,En dat is ontwrichtend voor onze democratie.,Civil Rights
116,BBB,Maar we willen het wel weten en we willen het wel kunnen en elke dag is voor ons een leerproces.,Education
117,BBB,De overheid kan dit niet alleen en wij mogen niet verwachten dat dit opgelost gaat worden louter en alleen vanuit Den Haag.,Government Operations
118,BBB,VAN VERTICALE NAAR HORIZONTALE ZUILEN Subculturen zijn overigens niet altijd slecht geweest voor de Nederlandse samenleving.,Civil Rights
119,BBB,Mensen met een hoger inkomen en meer macht kwamen op voor de lagere economische klassen binnen hun eigen verticale zuil.,Macroeconomics
120,BBB,"Ja, bijvoorbeeld bij universitair opgeleiden met hogere inkomens in een eigen bubble is dit problematisch.",Macroeconomics
121,BBB,Die wordt door mensen in deze bubble ook weleens smalend Ma Flodder genoemd.,Civil Rights
122,BBB,Daar voelen mensen zich verbonden in hun culturele identiteit.,Civil Rights
123,BBB,"De oorzaak én het gevolg hiervan is dat mensen elkaar kennen, elkaar begrijpen, elkaar wat gunnen, elkaar in hun waarde laten en naar elkaar omkijken.",Civil Rights
124,BBB,Het is juist die vertrouwde omgeving die mensen missen.,Civil Rights
125,BBB,Kijkende naar de ontwikkelingen in de regio zijn die zorgen zeker legitiem.,Government Operations
126,BBB,"DE OPENBARING VAN DE REGIO Het rapport ‘Elke regio telt!’ is een uitgebreide en goed onderbouwde uitwerking van ontwikkelingen die mensen in die regio’s al heel lang zien gebeuren: de verschraling van voorzieningen, dus de pinautomaat die verdwijnt, de dorps- of wijkagent die is verdwenen, de bus die niet meer rijdt, de dorpsschool die moet sluiten en/of het zwembad dat dicht moet.",Government Operations
127,BBB,"Het is allemaal een beleidsfocus op grootstedelijke gebieden, 15 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027te kortdurende en kleinschalige Rijks Ondersteuningsprogramma’s voor regio’s en onvoldoende oog hebben gehad voor de uitdagingen in regio’s.",Government Operations
128,BBB,De leefbaarheid van een gebied is voor een groot gedeelte afhankelijk van de mate waarin mensen in hun behoeften kunnen worden voorzien.,Social Welfare
129,BBB,Helaas zijn er steeds meer gebieden in ons land waar de aanwezigheid van basisvoorzieningen niet vanzelfsprekend meer is.,Social Welfare
130,BBB,Dit komt door een neerwaartse spiraal als gevolg van een overheid die uit de dorpen en kernen vertrekt omdat de instandhouding van dergelijke voorzieningen drukt op de overheidsuitgaven.,Government Operations
131,BBB,Welvaart versus welzijn… Maar geld kan en mag niet áltijd een reden zijn om ergens op te bezuinigen.,Macroeconomics
132,BBB,Of haar inwoners de ruimte geeft om de aanwezigheid van voorzieningen zelf te organiseren.,Housing
133,BBB,"Voor de groene lobby een nachtmerrie misschien, al die ronkende motoren op fossiele brandstof wat zo snel mogelijk verboden moet worden, maar voor het dorp is het, behalve een sociaal samenzijn met de opa’s, oma’s, vaders, moeders, kinderen en de jeugd onderling, brandstof voor het Kulturhus.",Energy
134,BBB,"En vergeet ook niet de rol van boeren en bedrijfsleven, vaak familiebedrijven, in sociaal-culturele evene- menten in de regio’s.",Agriculture
135,BBB,"De regio’s, ook de ‘zwakke’ regio’s moeten worden versterkt, ook met betaalbare woningen, om ook de winkelier, de bouwvakker, de arbeider, de schooljuf of -meester, de verpleegkundige, de brandweerman en de automonteur in de regio’s te houden.",Housing
136,BBB,"Mensen willen gewoon hun geld kunnen pinnen, hun kind naar school kunnen brengen, hun brief op de post kunnen doen, met het OV of de auto naar hun werk kunnen, indien nodig naar de huisarts en zo af en toe een duik in het publieke zwembad kunnen nemen.",Social Welfare
137,BBB,"In veel gevallen zijn voorzieningen niet alleen praktisch, maar ook noodzakelijk.",Government Operations
138,BBB,Hoe valt het uit te leggen dat een huisartsenpraktijk in een dorp als Petten verdwijnt?,Health
139,BBB,Inwoners (waaronder ouderen) die zijn overgeleverd aan het openbaar vervoer zijn langer dan anderhalf uur onderweg naar de nieuwe locatie.,Transportation
140,BBB,Dit is slechts één van de honderden voorbeelden dat voorzieningen nog steeds verdwijnen uit het platteland.16 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027De beleidsfocus op grootstedelijke gebieden speelt deze voorzieningen ongelijkheid onbedoeld in de hand.,Housing
141,BBB,"Het idee om de volgens beleidsmakers ‘sterke’ regio’s sterker te maken zorgt ervoor dat de regio’s die men als ‘zwak’ bestempelt, alleen maar verder achter komen te staan.",Government Operations
142,BBB,Grote investeringen in ruimtelijke én sociale economie worden al jaren vooral gedaan in de Randstad en veel te weinig in andere regio’s.,Government Operations
143,BBB,"Het nationale beleid zou veel meer gericht moeten zijn om van álle regio’s in ons land, ongeacht hun directe getalsmatige economische impact, succes regio’s te maken.",Government Operations
144,BBB,Hiervoor is een herstructurering van de te kortdurende en kleinschalige Rijks Ondersteuningsprogramma’s voor regio’s noodzakelijk.,Government Operations
145,BBB,"Het feit dat er ‘Regio Deals’ zijn die enigszins in de financiële behoefte van regio’s voorzien, is an sich goed.",Government Operations
146,BBB,Maar de wijze waarop deze financiering tot stand komt is op zijn zachtst gezegd problematisch te noemen.,Domestic Commerce
147,BBB,Er is één centrale pot geld waar regio’s met elkaar moeten concurreren om er iets uit te krijgen zodat ze hun omgeving leefbaar kunnen houden.,Government Operations
148,BBB,Dergelijke financiering zou juist structureel moeten zijn en beschikbaar moeten zijn voor alle regio’s.,Government Operations
149,BBB,"We moeten juist niet CONCURRENTIE tussen regio’s, maar SAMENWERKING met regio’s moeten stimuleren.",Government Operations
150,BBB,"We moeten ons niet laten verleiden door de vermeende efficiëntie van one-size-fits-all beleid, ofwel 1 maat past iedereen-beleid, maar de regionale diversiteit in ons land erkennen en waarderen.",Civil Rights
151,BBB,"Het niveau waarop wij besturen, correspondeert niet met het niveau waarop mensen zich met elkaar verbonden voelen, het niveau waarop mensen werken en handelen en het niveau waarop mensen naar elkaar omkijken.",Civil Rights
152,BBB,"Er is een grote roep voor meer inclusiviteit in het openbaar bestuur, die goed is voor de kwaliteit van onze democratie.",Government Operations
153,BBB,"Maar de inclusiviteit discussies gaan zelden over de inclusie van de fabrieksarbeider, de politie- agent, de verpleegkundige, de kapper en de boer of boerin.",Labor
154,BBB,Het gevolg daarvan is dat de overheid zich vervreemdt van de maatschappij die ze poogt te besturen.,Civil Rights
155,BBB,Denk hierbij nogmaals even aan de Aardbevings- schade of de overstromingen in Zuid-Nederland.,Environment
156,BBB,Verzekeraars en consultants worden door de weinig invoelende overheid ertussen gezet.,Domestic Commerce
157,BBB,Het moet door het water komen.” Gedupeerde: “Maar het water kwam door de regen.” Verzekeraar: “U zei dat het door de regen kwam.,Environment
158,BBB,"De democratie KAN kapot… Ons land heeft veel inwoners met verschillende identiteiten en belangen, maar weinig fysieke ruimte om iedereen volledig zijn zin te kunnen geven.",Civil Rights
159,BBB,"De overheid zou veel meer uit moeten gaan van sociale impact, in plaats van efficiëntie.",Macroeconomics
160,BBB,"Veel meer van wat iets oplevert, in plaats van wat iets kost.",Domestic Commerce
161,BBB,"Zolang veranderingen in de landbouw worden uitgedrukt in stikstof, koeien en geld, slaan we de plank mis.",Agriculture
162,BBB,"Wat is, behalve de ecologische impact, de sociale en maatschappelijke impact van de landbouw transitie?",Agriculture
163,BBB,"Nee, zo maakbaar is de wereld helaas niet.",Civil Rights
164,BBB,Nederland is geen pindakaas- fabriek waarin je met spreadsheet management tot winst kan komen.,Domestic Commerce
165,BBB,De kosten aan mankracht en geld waren immens.,Domestic Commerce
166,BBB,"Ons land lag in puin maar we hadden allemaal een duidelijk doel voor ogen: een bruisend land met her- stelde dorpen en steden, moderne woningen voor iedereen en een land waarin iedereen deelgenoot was en waar niemand achter zou blijven.",Other
167,BBB,"Niet alleen vanuit eigen belang, maar ook voor de ander.18 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027Nu kijken we in Nederland niet meer naar de toekomst voorbij de volgende kabinetsval.",Government Operations
168,BBB,"‘Kamerleden moeten niet denken dat ‘nieuw beleid‘ iets oplost, zorg eerst maar eens voor goede uitvoering van het bestaande beleid‘.",Government Operations
169,BBB,"’ Waar we nog aan toe willen voegen: niet alleen de overheid is verantwoordelijk voor goede uitvoering van bestaand beleid, ook instellingen en bedrijven moeten daarin deelnemen.",Domestic Commerce
170,BBB,"We geven ruimte aan en koesteren onze maakindustrie, familiebedrijven en ondernemers.",Domestic Commerce
171,BBB,We omarmen de strategische en maatschappelijke waarde van onze hoogwaardige en betaalbare voedselproductie.,Agriculture
172,BBB,"We snoeren dit niet dicht met wet- en regelgeving, maar houden ruimte en lucht voor mensen en bedrijven om het goede te doen 1.",Domestic Commerce
173,BBB,"Toegang tot de instituten, toegang tot onderwijs, toegang tot de rechtspraak, een huisarts, een bank, politiekantoren, de zorg en een gemeentehuis.",Education
174,BBB,Steeds dezelfde groepen mensen ervaren minder toegang in de systemen die onze samenleving van ons allemaal maken.,Civil Rights
175,BBB,"Als je in Bellingwolde woont en je wilt een baan in Den Haag, dan moet je met het openbaar vervoer per dag 9 uur reizen.",Transportation
176,BBB,Hetzelfde geldt voor het volgen van opleidingen en werken in andere delen van het land.,Education
177,BBB,Duizenden dorpen zijn steeds slechter toegankelijk in een land waar steeds verder gereisd MOET worden voor basisvoorzieningen omdat alles centraliseert en VERDWIJNT uit de regio.,Transportation
178,BBB,Het is bepalend in de mate waarop je kansen kan benutten en bereiken.,Domestic Commerce
179,BBB,"Niet alleen vanuit economische blik, maar ook en JUIST vanuit de sociale noodzaak gezien.",Macroeconomics
180,BBB,Het is een kwestie van willen en niet van kunnen.,Civil Rights
181,BBB,"En nee, dit gaat ook niet over één nacht ijs.",Environment
182,BBB,Niet blijven roepen: dat duurt nog wel 10 jaar en vervolgens niets doen.,Law and Crime
183,BBB,EEN WAARDIGE MAAKINDUSTRIE Als tweede is er economische en industriële ambitie nodig in Nederland.,Other
184,BBB,"Innovatie en daarmee verdere verduurzaming aanjagen, importeren EN exporteren en in behoeften voorzien.",Energy
185,BBB,"In de hele overheid moet doordringen dat het geld dat uitgegeven wordt, eerst ook verdiend moet worden.",Macroeconomics
186,BBB,In landen als Frankrijk en de Verenigde Staten is het inmiddels ingedaald dat er krachtige industriepolitiek nodig is om de waarde van hun industrieën en al die miljoenen mensen die er werken te erkennen en te versterken.,Domestic Commerce
187,BBB,"En Nederland moet zijn maakindustrie behouden, om niet nog meer afhankelijk te worden van het buitenland.",European Integration
188,BBB,Maakindustrie is meer dan strategische onafhankelijkheid van grootmachten als China en Rusland.,Foreign Trade
189,BBB,En het is meer dan extra belastingcenten in de staatskas.,Macroeconomics
190,BBB,Werk is waardigheid.,Civil Rights
191,BBB,"Ja, het kan nog veel duurzamer, maar het pad daarheen moet menselijker, realistischer en waardiger.",Environment
192,BBB,Als we kiezen voor een klimaatrevolutie in plaats van -evolutie dan zal onze industrie instorten en zullen veel mensen de strijd tegen klimaatverandering de rug toekeren.,Environment
193,BBB,"We moeten kijken naar draagbaarheid, haal- baarheid en uitvoerbaarheid van klimaatbeleid.",Environment
194,BBB,"Ook dit moeten we niet vanuit 1 perspectief bekijken, de maatschappelijke en sociale impact meewegen zijn cruciale ingrediënten voor succes.",Domestic Commerce
195,BBB,"Richting het einde van de eeuw neemt de wereldbevolking verder toe tot 10,5 miljard mensen.",International Affairs
196,BBB,"Ondertussen neemt het beschikbare vruchtbare land op aarde rap af, met 12.000.000 hectare per jaar.",Environment
197,BBB,Nederland heeft als vruchtbare delta een morele verantwoordelijkheid om voedsel te produceren en mensen te voeden.,International Affairs
198,BBB,"Elk land dat iets goed kan, exporteert.",European Integration
199,BBB,"Duitsland kan goed auto’s maken en exporteert, Colombia kan goed koffie maken en exporteert.",European Integration
200,BBB,"Sri Lanka kan goed thee maken en exporteert, Azië is goed in techno- logie en exporteert.",International Affairs
201,BBB,Nederland kan goed voedsel maken en exporteert.,Agriculture
202,BBB,Wat we met export doen is wereldwijd niet meer en niet minder dan het ruilen van goederen.,Foreign Trade
